,f1,f2,cor
0,android.software.app_widgets,android.software.live_wallpaper,0.0
1,android.permission.BATTERY_STATS,android.permission.BLUETOOTH_PRIVILEGED,0.0
2,android.permission.BATTERY_STATS,android.permission.READ_PRIVILEGED_PHONE_STATE,0.0
3,android.permission.ACCESS_CHECKIN_PROPERTIES,com.google.android.apps.now.CURRENT_ACCOUNT_ACCESS,0.0
4,android.permission.BATTERY_STATS,android.permission.USE_FULL_SCREEN_INTENT,0.0
5,android.permission.ACCESS_CHECKIN_PROPERTIES,com.android.chrome.permission.C2D_MESSAGE,0.0
6,android.permission.BATTERY_STATS,com.google.android.apps.wallpaper.NOTIFY_ROTATING_WALLPAPER_CHANGED,0.0
7,android.permission.BATTERY_STATS,android.permission.CAPTURE_AUDIO_OUTPUT,0.0
8,android.permission.BATTERY_STATS,android.permission.PACKAGE_USAGE_STATS,0.0
9,android.permission.BATTERY_STATS,android.permission.INSTALL_DYNAMIC_SYSTEM,0.0
10,android.permission.BIND_APPWIDGET,android.software.app_widgets,0.0
11,android.permission.ACCESS_CHECKIN_PROPERTIES,com.google.android.apps.enterprise.dmagent.permission.C2D_MESSAGE,0.0
12,android.permission.ACCESS_CHECKIN_PROPERTIES,com.google.android.gms.permission.BROADCAST_TO_GOOGLEHELP,0.0
13,android.permission.ACCESS_CHECKIN_PROPERTIES,com.android.chrome.permission.READ_WRITE_BOOKMARK_FOLDERS,0.0
14,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.REQUEST_INSTALL_PACKAGES,0.0
15,android.permission.BIND_APPWIDGET,android.software.sip,0.0
16,android.permission.BIND_APPWIDGET,android.hardware.wifi.direct,0.0
17,android.permission.BIND_APPWIDGET,android.hardware.vulkan.version,0.0
18,android.permission.BIND_APPWIDGET,android.hardware.usb.host,0.0
19,android.permission.BIND_APPWIDGET,android.software.leanback,0.0
20,android.permission.BATTERY_STATS,android.permission.SET_WALLPAPER_COMPONENT,0.0
21,android.permission.ACCESS_CHECKIN_PROPERTIES,com.android.chrome.TOS_ACKED,0.0
