,f1,f2,cor
20556,android.permission.CLEAR_APP_CACHE,android.hardware.bluetooth,0.5000244888657682
20557,android.permission.CHANGE_CONFIGURATION,android.permission.STATUS_BAR,0.5026057462600776
20558,android.permission.RECEIVE_WAP_PUSH,android.permission.GLOBAL_SEARCH_CONTROL,0.5044218529110671
20559,android.permission.RECEIVE_WAP_PUSH,android.permission.GLOBAL_SEARCH,0.5045248096081026
20560,android.permission.WRITE_CALL_LOG,android.permission.WRITE_APN_SETTINGS,0.5063724769054725
20561,android.permission.WRITE_SYNC_SETTINGS,android.permission.SUBSCRIBED_FEEDS_READ,0.5078103600023854
20562,android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,0.5086245666101719
20563,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,0.5110839526507518
20564,android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,0.5112940424412407
20565,android.permission.CHANGE_WIFI_STATE,android.hardware.wifi,0.5121195334200014
20566,android.permission.BLUETOOTH_ADMIN,android.permission.CLEAR_APP_CACHE,0.513763206705893
20567,android.permission.READ_CALENDAR,android.permission.CONTROL_LOCATION_UPDATES,0.5147346315538921
20568,com.android.browser.permission.READ_HISTORY_BOOKMARKS,com.android.launcher.permission.INSTALL_SHORTCUT,0.5178492611511024
20569,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,0.5188412684628751
20570,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.hardware.location.gps,0.5188412684628757
20571,android.permission.WRITE_CALENDAR,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,0.5199886041414084
20572,android.permission.BROADCAST_WAP_PUSH,android.permission.STATUS_BAR,0.5262102048972287
20573,android.permission.CALL_PHONE,android.permission.WRITE_CONTACTS,0.5327640553510352
20574,android.permission.READ_SMS,android.permission.RECEIVE_SMS,0.5366308355124024
20575,android.permission.WRITE_CALENDAR,android.permission.WRITE_SYNC_SETTINGS,0.5472289681179188
20576,android.permission.CALL_PHONE,android.permission.WRITE_CALL_LOG,0.5475641099751634
20577,android.permission.READ_PHONE_STATE,android.hardware.faketouch,0.5564113751724318
20578,android.permission.INSTALL_PACKAGES,android.permission.DELETE_PACKAGES,0.5585516331986519
20579,android.permission.WRITE_SETTINGS,android.permission.WRITE_SECURE_SETTINGS,0.5595914016351478
20580,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,com.android.launcher.permission.INSTALL_SHORTCUT,0.5629226805170041
20581,android.permission.REORDER_TASKS,android.permission.STATUS_BAR,0.5629425562066493
20582,android.permission.INTERNAL_SYSTEM_WINDOW,android.permission.STATUS_BAR,0.5629425562066493
20583,android.hardware.camera.autofocus,android.hardware.camera.front,0.5637803153709746
20584,android.permission.RESTART_PACKAGES,android.permission.DISABLE_KEYGUARD,0.5691094414142938
20585,android.permission.READ_CALENDAR,android.permission.STATUS_BAR,0.5714488338644705
20586,android.permission.SYSTEM_ALERT_WINDOW,android.permission.UPDATE_DEVICE_STATS,0.5715501876693219
20587,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.ACCESS_SURFACE_FLINGER,0.5769642934209851
20588,android.permission.READ_SYNC_STATS,android.permission.MOUNT_FORMAT_FILESYSTEMS,0.5771959593461112
20589,android.permission.MOUNT_FORMAT_FILESYSTEMS,android.permission.DUMP,0.5771959593461112
20590,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.MOUNT_FORMAT_FILESYSTEMS,0.5771959593461112
20591,android.permission.SET_DEBUG_APP,android.permission.MOUNT_FORMAT_FILESYSTEMS,0.5771959593461112
20592,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.AUTHENTICATE_ACCOUNTS,0.5771959593461123
20593,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.DUMP,0.5771959593461123
20594,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.READ_SYNC_STATS,0.5771959593461123
20595,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.SET_DEBUG_APP,0.5771959593461123
20596,android.permission.FACTORY_TEST,android.permission.DUMP,0.5771959593461126
20597,android.permission.READ_SYNC_STATS,android.permission.FACTORY_TEST,0.5771959593461126
20598,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.FACTORY_TEST,0.5771959593461126
20599,android.permission.SET_DEBUG_APP,android.permission.FACTORY_TEST,0.5771959593461126
20600,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BIND_APPWIDGET,0.5771959593461127
20601,android.permission.SET_DEBUG_APP,android.permission.BIND_APPWIDGET,0.5771959593461127
20602,android.permission.BIND_APPWIDGET,android.permission.READ_SYNC_STATS,0.5771959593461127
20603,android.permission.BIND_APPWIDGET,android.permission.DUMP,0.5771959593461127
20604,android.permission.WRITE_CALENDAR,android.permission.READ_FRAME_BUFFER,0.5815988044458248
20605,android.permission.EXPAND_STATUS_BAR,android.permission.READ_FRAME_BUFFER,0.5815988044458268
20606,android.permission.WRITE_SYNC_SETTINGS,android.permission.ACCESS_DOWNLOAD_MANAGER,0.5942429462574397
20607,android.permission.BATTERY_STATS,android.permission.READ_FRAME_BUFFER,0.6007925812743963
20608,android.permission.CALL_PRIVILEGED,android.permission.INJECT_EVENTS,0.6118809869368196
20609,android.permission.CONTROL_LOCATION_UPDATES,android.permission.STATUS_BAR,0.6129583578297843
20610,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.android.browser.permission.READ_HISTORY_BOOKMARKS,0.6141896458200382
20611,android.permission.WRITE_SYNC_SETTINGS,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,0.6153904703424602
20612,android.permission.READ_SMS,android.hardware.telephony,0.6176773537209501
20613,android.permission.MANAGE_ACCOUNTS,android.permission.READ_SYNC_SETTINGS,0.6380436065086041
20614,android.permission.SYSTEM_ALERT_WINDOW,android.permission.WRITE_SECURE_SETTINGS,0.638095758966077
20615,android.permission.RECEIVE_SMS,android.hardware.telephony,0.6405664200238577
20616,android.permission.EXPAND_STATUS_BAR,android.permission.SET_WALLPAPER_HINTS,0.6495837587141795
20617,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,0.6531574788922604
20618,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.WRITE_SYNC_SETTINGS,0.665325193713061
20619,android.permission.SYSTEM_ALERT_WINDOW,com.android.alarm.permission.SET_ALARM,0.6676889487297748
20620,android.permission.SUBSCRIBED_FEEDS_READ,android.permission.READ_SYNC_SETTINGS,0.6823982564767727
20621,android.permission.READ_CALENDAR,android.permission.READ_FRAME_BUFFER,0.694114016793758
20622,android.permission.READ_SMS,android.permission.WRITE_SMS,0.6957351233808963
20623,android.hardware.faketouch,android.hardware.touchscreen.multitouch.distinct,0.7006220401301507
20624,android.permission.GLOBAL_SEARCH_CONTROL,android.permission.EXPAND_STATUS_BAR,0.7050133370572885
20625,android.permission.EXPAND_STATUS_BAR,android.permission.GLOBAL_SEARCH,0.7055053110946483
20626,android.permission.SET_DEBUG_APP,android.permission.CHANGE_WIFI_MULTICAST_STATE,0.7070122924066511
20627,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.AUTHENTICATE_ACCOUNTS,0.7070122924066511
20628,android.permission.BRICK,android.permission.SET_DEBUG_APP,0.7070122924066511
20629,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.READ_SYNC_STATS,0.7070122924066511
20630,android.permission.CHANGE_WIFI_MULTICAST_STATE,android.permission.DUMP,0.7070122924066511
20631,android.permission.BRICK,android.permission.DUMP,0.7070122924066511
20632,android.permission.BRICK,android.permission.READ_SYNC_STATS,0.7070122924066511
20633,android.permission.BRICK,android.permission.AUTHENTICATE_ACCOUNTS,0.7070122924066511
20634,android.permission.CLEAR_APP_USER_DATA,android.permission.SET_DEBUG_APP,0.7070122924066519
20635,android.permission.MASTER_CLEAR,android.permission.AUTHENTICATE_ACCOUNTS,0.7070122924066519
20636,android.permission.MASTER_CLEAR,android.permission.SET_DEBUG_APP,0.7070122924066519
20637,android.permission.CLEAR_APP_USER_DATA,android.permission.AUTHENTICATE_ACCOUNTS,0.7070122924066519
20638,android.permission.CLEAR_APP_USER_DATA,android.permission.READ_SYNC_STATS,0.7070122924066519
20639,android.permission.CLEAR_APP_USER_DATA,android.permission.DUMP,0.7070122924066519
20640,android.permission.MASTER_CLEAR,android.permission.READ_SYNC_STATS,0.7070122924066519
20641,android.permission.MASTER_CLEAR,android.permission.DUMP,0.7070122924066519
20642,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.ACCOUNT_MANAGER,0.7070122924066522
20643,android.permission.ACCOUNT_MANAGER,android.permission.DUMP,0.7070122924066522
20644,android.permission.ACCOUNT_MANAGER,android.permission.READ_SYNC_STATS,0.7070122924066522
20645,android.permission.SET_DEBUG_APP,android.permission.ACCOUNT_MANAGER,0.7070122924066522
20646,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.android.launcher.permission.INSTALL_SHORTCUT,0.7134045341855617
20647,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,0.7198502230268872
20648,android.hardware.faketouch,android.hardware.touchscreen.multitouch,0.7393881292236656
20649,android.permission.CONTROL_LOCATION_UPDATES,android.permission.READ_FRAME_BUFFER,0.7441554183098479
20650,android.permission.WRITE_SYNC_SETTINGS,android.permission.READ_SYNC_SETTINGS,0.7441554183098495
20651,com.android.alarm.permission.SET_ALARM,android.permission.UPDATE_DEVICE_STATS,0.7714091434648408
20652,android.hardware.faketouch,android.hardware.touchscreen,0.7733390940448772
20653,android.permission.GLOBAL_SEARCH_CONTROL,android.permission.SET_WALLPAPER_HINTS,0.7802639608919073
20654,android.permission.GLOBAL_SEARCH,android.permission.SET_WALLPAPER_HINTS,0.780882619217724
20655,android.permission.BROADCAST_SMS,android.permission.BROADCAST_WAP_PUSH,0.7821148063048793
20656,android.permission.UPDATE_DEVICE_STATS,android.permission.WRITE_SECURE_SETTINGS,0.793898094440059
20657,android.permission.ACCESS_COARSE_LOCATION,android.hardware.location.gps,0.8036838102091826
20658,android.permission.ACCESS_FINE_LOCATION,android.hardware.location.network,0.8046653547185744
20659,android.hardware.location.gps,android.hardware.location.network,0.804665354718575
20660,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,0.8050287310599211
20661,android.permission.SEND_SMS,android.hardware.telephony,0.8072349088460534
20662,android.permission.READ_CALENDAR,android.permission.WRITE_CALENDAR,0.8105503879539177
20663,android.permission.GET_PACKAGE_SIZE,android.permission.CLEAR_APP_CACHE,0.8150046792680695
20664,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.MASTER_CLEAR,0.8163874455157664
20665,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.CLEAR_APP_USER_DATA,0.8163874455157664
20666,android.permission.ACCESS_CACHE_FILESYSTEM,android.permission.DELETE_CACHE_FILES,0.8176311045425758
