,f1,f2,cor
20556,android.permission.CLEAR_APP_CACHE,android.hardware.bluetooth,0.5000244888657682
20565,android.permission.CHANGE_WIFI_STATE,android.hardware.wifi,0.5121195334200014
20570,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.hardware.location.gps,0.5188412684628757
20577,android.permission.READ_PHONE_STATE,android.hardware.faketouch,0.5564113751724318
20612,android.permission.READ_SMS,android.hardware.telephony,0.6176773537209501
20615,android.permission.RECEIVE_SMS,android.hardware.telephony,0.6405664200238577
20657,android.permission.ACCESS_COARSE_LOCATION,android.hardware.location.gps,0.8036838102091826
20658,android.permission.ACCESS_FINE_LOCATION,android.hardware.location.network,0.8046653547185744
20661,android.permission.SEND_SMS,android.hardware.telephony,0.8072349088460534
20671,android.permission.ACCESS_FINE_LOCATION,android.hardware.location,0.8720288930596123
20675,android.permission.BLUETOOTH_ADMIN,android.hardware.bluetooth,0.9159932694267389
20677,android.permission.BLUETOOTH,android.hardware.bluetooth,0.9337479683223487
20682,android.permission.ACCESS_COARSE_LOCATION,android.hardware.location,0.9390597014488422
20691,android.permission.CAMERA,android.hardware.camera,0.9893405697695592
20692,android.permission.ACCESS_COARSE_LOCATION,android.hardware.location.network,0.994153438435366
20693,android.permission.RECORD_AUDIO,android.hardware.microphone,0.994641677174359
20695,android.permission.ACCESS_WIFI_STATE,android.hardware.wifi,0.998369686161888
20696,android.permission.ACCESS_FINE_LOCATION,android.hardware.location.gps,0.9986093835218445
